time,addr,bus,data
761.517228,189,0,01b814f1b800ff
761.517266,501,0,0f0f000100000800
761.517356,193,0,70010cd2b00219a4
761.517496,479,0,800200
761.517658,539,2,000019000000185f
761.517694,501,0,0f0f000100000800
761.5179,565,2,0000000030000ffd
761.518454,368,2,80e2000010540000
761.518996,542,2,40000000008300
761.519376,532,2,c1400193005000
761.519386,170,0,2c032c030453fb00
761.519652,566,0,04cc4e0000
761.519802,311,0,190198ae09bc5409
761.520002,241,0,340000400000
761.520014,489,2,200000008
761.52058,368,2,80e2000010540000
761.520726,539,2,000019000000085d
761.521032,193,0,40010cd2800219a4
761.521178,192,2,ffb191b191
761.52182,562,2,2ed9292c
761.522054,309,0,00000822aa121203
761.523384,197,2,70010cd2b00219a4
761.523698,304,2,3ffe900000001203
761.523928,197,0,50010cd2900219a4
761.524412,389,0,1be3
761.524654,171,0,0
761.52504,454,0,349d349d00032d8c
761.52514,842,0,0
761.525228,199,0,0
761.525924,512,2,0
761.526004,193,2,50010cd2900219a4
761.52604,298,2,0
761.527334,566,0,04bf400008
761.527946,532,2,c1400193005000
761.528058,565,2,0000000020000ffe
761.528574,192,2,00e1c1e1c1
